epochs,time,HR,NDCG,ACC,ACC_adv,time,P,Q
K = 75,HR = 0.2923,NDCG = 0.0792,AUC = 0.9533
K = 76,HR = 0.2952,NDCG = 0.0796,AUC = 0.9533
K = 77,HR = 0.2981,NDCG = 0.0801,AUC = 0.9533
K = 78,HR = 0.3006,NDCG = 0.0805,AUC = 0.9533
K = 79,HR = 0.3027,NDCG = 0.0808,AUC = 0.9533
K = 80,HR = 0.3052,NDCG = 0.0812,AUC = 0.9533
K = 81,HR = 0.3075,NDCG = 0.0816,AUC = 0.9533
K = 82,HR = 0.3098,NDCG = 0.0819,AUC = 0.9533
K = 83,HR = 0.3125,NDCG = 0.0824,AUC = 0.9533
K = 84,HR = 0.3148,NDCG = 0.0827,AUC = 0.9533
K = 85,HR = 0.3170,NDCG = 0.0831,AUC = 0.9533
K = 86,HR = 0.3192,NDCG = 0.0834,AUC = 0.9533
K = 87,HR = 0.3216,NDCG = 0.0838,AUC = 0.9533
K = 88,HR = 0.3236,NDCG = 0.0841,AUC = 0.9533
K = 89,HR = 0.3258,NDCG = 0.0844,AUC = 0.9533
K = 90,HR = 0.3279,NDCG = 0.0848,AUC = 0.9533
K = 91,HR = 0.3300,NDCG = 0.0851,AUC = 0.9533
K = 92,HR = 0.3324,NDCG = 0.0854,AUC = 0.9533
K = 93,HR = 0.3342,NDCG = 0.0857,AUC = 0.9533
K = 94,HR = 0.3360,NDCG = 0.0860,AUC = 0.9533
K = 95,HR = 0.3381,NDCG = 0.0863,AUC = 0.9533
K = 96,HR = 0.3402,NDCG = 0.0866,AUC = 0.9533
K = 97,HR = 0.3423,NDCG = 0.0869,AUC = 0.9533
K = 98,HR = 0.3441,NDCG = 0.0872,AUC = 0.9533
K = 99,HR = 0.3460,NDCG = 0.0875,AUC = 0.9533
K = 100,HR = 0.3481,NDCG = 0.0878,AUC = 0.9533
