epochs,time,HR,NDCG,ACC,ACC_adv,time,P,Q
1300,[4.0s + 2.2s],0.3165,0.0783,0.9962,0.9968,[52.2s],831.49,602.99
1320,[4.0s + 2.2s],0.3162,0.0782,0.9963,0.9969,[52.5s],833.19,604.13
1340,[4.0s + 2.2s],0.3168,0.0782,0.9963,0.9969,[49.3s],834.85,605.26
1360,[4.0s + 2.2s],0.3165,0.0781,0.9963,0.9969,[51.6s],836.50,606.37
1380,[4.0s + 2.2s],0.3159,0.0780,0.9964,0.9969,[50.8s],838.11,607.45
1400,[4.0s + 2.2s],0.3156,0.0779,0.9963,0.9969,[51.8s],839.70,608.52
1420,[4.0s + 2.2s],0.3151,0.0778,0.9964,0.9969,[51.2s],841.28,609.58
1440,[4.0s + 2.2s],0.3153,0.0779,0.9964,0.9970,[49.5s],842.82,610.62
1460,[4.0s + 2.2s],0.3154,0.0778,0.9965,0.9970,[51.5s],844.34,611.65
1480,[4.0s + 2.2s],0.3147,0.0778,0.9964,0.9969,[50.5s],845.84,612.67
1500,[4.0s + 2.2s],0.3149,0.0777,0.9965,0.9970,[51.7s],847.31,613.68
1520,[4.0s + 2.2s],0.3151,0.0777,0.9965,0.9970,[51.6s],848.77,614.66
1540,[4.0s + 2.2s],0.3146,0.0776,0.9964,0.9969,[51.9s],850.20,615.63
1560,[4.0s + 2.1s],0.3145,0.0776,0.9965,0.9970,[51.0s],851.62,616.59
1580,[4.0s + 2.2s],0.3144,0.0776,0.9965,0.9971,[50.6s],853.02,617.54
1600,[4.0s + 2.2s],0.3142,0.0776,0.9966,0.9971,[52.0s],854.40,618.47
1620,[4.0s + 2.1s],0.3141,0.0776,0.9966,0.9971,[51.2s],855.76,619.40
1640,[4.0s + 2.2s],0.3136,0.0775,0.9966,0.9971,[51.5s],857.10,620.30
1660,[4.0s + 2.2s],0.3138,0.0773,0.9966,0.9972,[51.4s],858.43,621.21
1680,[4.0s + 2.1s],0.3138,0.0774,0.9967,0.9971,[52.2s],859.74,622.11
1700,[4.0s + 2.1s],0.3138,0.0773,0.9965,0.9970,[51.6s],861.03,622.98
1720,[4.0s + 2.2s],0.3137,0.0773,0.9966,0.9971,[50.5s],862.31,623.85
1740,[4.0s + 2.2s],0.3133,0.0773,0.9967,0.9972,[52.0s],863.57,624.71
1760,[4.0s + 2.2s],0.3136,0.0774,0.9967,0.9972,[50.8s],864.82,625.56
1780,[4.0s + 2.1s],0.3132,0.0773,0.9966,0.9971,[54.4s],866.05,626.40
1800,[4.1s + 2.2s],0.3129,0.0772,0.9967,0.9972,[54.1s],867.27,627.23
1820,[4.1s + 2.2s],0.3125,0.0771,0.9967,0.9972,[52.9s],868.47,628.05
1840,[4.1s + 2.3s],0.3126,0.0772,0.9967,0.9971,[54.7s],869.66,628.86
1860,[4.3s + 2.3s],0.3122,0.0771,0.9967,0.9972,[53.4s],870.83,629.66
1880,[4.1s + 2.3s],0.3119,0.0771,0.9967,0.9972,[53.2s],871.99,630.45
1900,[4.1s + 2.3s],0.3121,0.0770,0.9968,0.9972,[55.0s],873.14,631.23
1920,[4.3s + 2.2s],0.3120,0.0770,0.9968,0.9972,[53.6s],874.27,632.00
1940,[4.1s + 2.3s],0.3115,0.0769,0.9968,0.9972,[53.5s],875.39,632.78
1960,[4.1s + 2.3s],0.3116,0.0768,0.9968,0.9973,[54.0s],876.50,633.54
1980,[4.1s + 2.3s],0.3116,0.0769,0.9969,0.9974,[53.6s],877.60,634.30
